id,name,x,y,z,,rate,type,property,T_Thousands_of_tonnes
112,IEROS,-6.338623046999999,52.25549316399997,0.5,,0.03331,base,base ,992.8181818181819
113,IEWAT,-7.112182616999974,52.26208496100003,0.5,,0.03331,base,base ,856.8888888888889
114,IENRS,-6.945495605000019,52.394287109000004,0.5,,0.03331,base,base ,337.32
115,NLAMS,4.878479003999985,52.39807128899997,0.5,,0.03331,base,base ,40895.97368421053
116,NLZAA,4.835083008000026,52.429077147999976,0.5,,0.03331,base,base ,91.95
117,GBGTY,1.7354736330000264,52.571105956999986,0.5,,0.03331,base,base ,431.94736842105266
118,IELMK,-8.62538718799999,52.66807283999998,0.5,,0.03331,base,base ,4995.894736842105
119,NLDHR,4.784912109000004,52.96649169900002,0.5,,0.03331,base,base ,96.1842105263158
120,GBBOS,-0.015808105000019168,52.96807861299999,0.5,,0.03331,base,base ,393.8157894736842
121,NLHAR,5.4085083009999835,53.175903319999975,0.5,,0.03331,base,base ,331.56756756756755
122,IEGWY,-9.044006347999982,53.268676758000026,0.5,,0.03331,base,base ,336.04545454545456
123,IEDLG,-6.132995605000019,53.297302246000015,0.5,,0.03331,base,base ,3.4166666666666665
124,GBHLY,-4.62359619099999,53.31268310500002,0.5,,0.03331,base,base ,1811.342105263158
125,IEDUB,-6.223929664000025,53.34784038999999,0.5,,0.03331,base,base ,9773.868421052632
126,GBLIV,-3.0135107209999887,53.445063312,0.5,,0.03331,base,base ,15291.026315789473
127,GBMNC,-2.296875,53.471130371000015,0.5,,0.03331,base,base ,3363.6315789473683
128,GBIMM,-0.18801561899999797,53.630889615,0.5,,0.03331,base,base ,28052.052631578947
129,GB203,-0.6909790039999848,53.65887451200001,0.5,,0.03331,base,base ,797.2105263157895
130,GBGOO,-0.8668823240000165,53.700073241999974,0.5,,0.03331,base,base ,884.4473684210526
131,IEDRO,-6.333312987999989,53.716674805000025,0.5,,0.03331,base,base ,520.5526315789474
132,GB221,-0.27040470299999697,53.73930532999998,0.5,,0.03331,base,base ,4600.631578947368
133,GBHUL,-0.29691550000001143,53.74269850000002,0.5,,0.03331,base,base ,5190.368421052632
134,GBFLE,-3.005676269999981,53.92169189499998,0.5,,0.03331,base,base ,776.55
135,IEDDK,-6.387695312999995,54.007690430000025,0.5,,0.03331,base,base ,27.857142857142858
136,GBHYM,-2.922912597999982,54.03289794900002,0.5,,0.03331,base,base ,1907.5
137,GBWPT,-6.250793456999986,54.097900390999996,0.5,,0.03331,base,base ,1165.2894736842106
138,GBMME,-1.1588383199999726,54.61794643899998,0.5,,0.03331,base,base ,20045.263157894737
139,GBBEL,-5.874521000000016,54.63854600000002,0.5,,0.03331,base,base ,7102.8421052631575
140,GBKPS,-5.765380859000004,54.720275878999985,0.5,,0.03331,base,base ,458.8
141,GBLAR,-5.796691894999981,54.85150146500001,0.5,,0.03331,base,base ,1882.157894736842
142,GBSTR,-5.025024413999972,54.908081055000025,0.5,,0.03331,base,base ,686.0357142857143
143,GBSUN,-1.361328125,54.91729736299999,0.5,,0.03331,base,base ,379.2631578947368
144,GBCYN,-5.0178833009999835,54.96710205099998,0.5,,0.03331,base,base ,1288.921052631579
145,GBTYN,-1.4459838870000112,54.99090576200001,0.5,,0.03331,base,base ,2081.7631578947367
146,GBLDY,-7.318603515999996,54.998474121000015,0.5,,0.03331,base,base ,776.7105263157895
147,GBCYP,-4.321173511999973,55.86755562799999,0.5,,0.03331,base,base ,5917.421052631579
148,GBFOR,-3.2382450000000063,56.0549125,0.5,,0.03331,base,base ,15512.605263157895
149,GBDUN,-2.919494628999985,56.46588134799998,0.5,,0.03331,base,base ,419.57894736842104
150,GBGSA,-5.532409668000014,56.56829834000001,0.5,,0.03331,base,base ,4629.086956521739
151,GBABD,-2.075378418000014,57.141479491999974,0.5,,0.03331,base,base ,2027.4473684210527
152,GBPHD,-1.7719116210000152,57.501098633000026,0.5,,0.03331,base,base ,518.0263157894736
153,GBCRN,-4.038085937999995,57.682495116999974,0.5,,0.03331,base,base ,1140.2368421052631
154,GBKWL,-2.961851000000024,58.988357500000006,0.5,,0.03331,base,base ,3714.1052631578946
155,GBSUL,-1.281772999999987,60.45676400000002,0.5,,0.03331,base,base ,7549.257142857143
156,NOEGD,5.989501953000001,58.447692871000015,0.5,,0.03331,base,base ,330.3
157,NOSVG,5.7346801759999835,58.97430419900002,0.5,,0.03331,base,base ,2317.0833333333335
158,NOKAS,5.257805500000018,59.414146500000015,0.5,,0.03331,base,base ,6412.2
159,NOBGO,5.308249999999987,60.3950385,0.5,,0.03331,base,base ,27717.083333333332
160,NOFRO,5.032287597999982,61.60089111299999,0.5,,0.03331,base,base ,832.4444444444445
161,NOBRE,4.970275878999985,61.840087890999996,0.5,,0.03331,base,base ,1406.5833333333333
162,NOMAY,5.11468505900001,61.93487548799999,0.5,,0.03331,base,base ,276.80555555555554
